Date,Time,Ms,Category,Tag,State,Message,Value,Info,AdditionalMessage,AdditionalValue,AdditionalInfo,Else
2026-09-14,19:47:41,458,KOM_Test,SR830,E,SR830 Verbindung fehlgeschlagen,"SerialException: could not open port 'COM3': FileNotFoundError(2, 'Das System kann die angegebene Datei nicht finden.', None, 2)",Connection error,Komunkiations Test für SR830 und OSTECH,,,
2026-09-14,19:47:43,468,KOM_Test,OSTECH,E,OSTECH Verbindung fehlgeschlagen,"SerialException: could not open port 'COM4': FileNotFoundError(2, 'Das System kann die angegebene Datei nicht finden.', None, 2)",Connection error,Komunkiations Test für SR830 und OSTECH,,,
2026-09-14,19:47:45,612,KOM_Test,SR830,T,"SNAP 1,2,3,4,10,11","SNAP? 1,2,3,4,10,11",result im SR830-Thread,Komunkiations Test für SR830 und OSTECH,,,
2026-09-14,19:47:45,614,KOM_Test,OSTECH,T,LTM,LTM,result im OSTECH-Thread,Komunkiations Test für SR830 und OSTECH,,,
2026-09-14,19:47:45,615,KOM_Test,SYSTEM,I,status,whileTest gestartet; Geräte-Threads laufen parallel.,status im SYSTEM-Thread,Komunkiations Test für SR830 und OSTECH,,,
2026-09-14,19:47:45,619,KOM_Test,OSTECH,T,LCA,LCA,result im OSTECH-Thread,Komunkiations Test für SR830 und OSTECH,,,
2026-09-14,19:47:45,620,KOM_Test,SR830,T,"SNAP 5,6,7,8,9","SNAP? 5,6,7,8,9",result im SR830-Thread,Komunkiations Test für SR830 und OSTECH,,,
2026-09-14,19:47:45,636,KOM_Test,SR830,T,PHAS,PHAS,result im SR830-Thread,Komunkiations Test für SR830 und OSTECH,,,
2026-09-14,19:47:45,638,KOM_Test,OSTECH,T,LVA,LVA,result im OSTECH-Thread,Komunkiations Test für SR830 und OSTECH,,,
2026-09-14,19:47:45,651,KOM_Test,SR830,T,FREQ,FREQ,result im SR830-Thread,Komunkiations Test für SR830 und OSTECH,,,
2026-09-14,19:47:45,653,KOM_Test,OSTECH,T,LTA,XTA,result im OSTECH-Thread,Komunkiations Test für SR830 und OSTECH,,,
2026-09-14,19:47:45,667,KOM_Test,OSTECH,T,GT,GT,result im OSTECH-Thread,Komunkiations Test für SR830 und OSTECH,,,
2026-09-14,19:47:45,684,KOM_Test,OSTECH,T,GS,GS,result im OSTECH-Thread,Komunkiations Test für SR830 und OSTECH,,,
