Date,Time,Ms,Category,Tag,State,Message,Value,Info,AdditionalMessage,AdditionalValue,AdditionalInfo,Else
2026-09-14,19:12:52,924,KOM_Test,SR830,T,Proramm start,Ask,Komunkiations Test für SR830 und OSTECH,,,,
2026-09-14,19:12:52,930,KOM_Test,OSTECH,E,OSTECH auf COM4 nicht erreichbar,"Error: could not open port 'COM4': FileNotFoundError(2, 'Das System kann die angegebene Datei nicht finden.', None, 2)",Decoded,Komunkiations Test für SR830 und OSTECH,,,
2026-09-14,19:12:52,930,KOM_Test,STATE_MACHINE,I,Geräteprüfung erfolgreich; Messablauf wird gestartet.,Startup check,Komunkiations Test für SR830 und OSTECH,,,,
