Date,Time,Ms,Category,Tag,State,Message,Value,Info,AdditionalMessage,AdditionalValue,AdditionalInfo,Else
2026-09-15,11:05:02,031,KOM_Test,OSTECH,T,LCT,0.0,result,Kommunikations-Test fuer SR830 und OSTECH,,,
2026-09-15,11:05:02,053,KOM_Test,OSTECH,T,XTA,20.990501403808594,result,Kommunikations-Test fuer SR830 und OSTECH,,,
2026-09-15,11:05:02,071,KOM_Test,OSTECH,T,LVA,0.0,result,Kommunikations-Test fuer SR830 und OSTECH,,,
2026-09-15,11:05:02,094,KOM_Test,COMMAND,T,SR830 IDN,"SR830 ID: Stanford_Research_Systems,SR830,s/n46328,ver1.07",result,Kommunikations-Test fuer SR830 und OSTECH,,,
2026-09-15,11:05:02,101,KOM_Test,OSTECH,T,XTCA,93.0,result,Kommunikations-Test fuer SR830 und OSTECH,,,
2026-09-15,11:05:02,118,KOM_Test,COMMAND,T,OSTECH LCA,0.0,result,Kommunikations-Test fuer SR830 und OSTECH,,,
2026-09-15,11:05:02,132,KOM_Test,OSTECH,T,XTVA,0.19373954832553864,result,Kommunikations-Test fuer SR830 und OSTECH,,,
2026-09-15,11:05:02,141,KOM_Test,COMMAND,T,OSTECH XTT,21.0,result,Kommunikations-Test fuer SR830 und OSTECH,,,
2026-09-15,11:05:02,159,KOM_Test,COMMAND,T,OSTECH LTM,25.0,result,Kommunikations-Test fuer SR830 und OSTECH,,,
2026-09-15,11:05:02,168,KOM_Test,SR830,T,"SNAP 1,2,3,4,10,11","0,0,0,0,0,0",result,Kommunikations-Test fuer SR830 und OSTECH,,,
2026-09-15,11:05:02,171,KOM_Test,COMMAND,T,OSTECH GT,28.32450294494629,result,Kommunikations-Test fuer SR830 und OSTECH,,,
2026-09-15,11:05:02,182,KOM_Test,OSTECH,T,LCT,0.0,result,Kommunikations-Test fuer SR830 und OSTECH,,,
2026-09-15,11:05:02,192,KOM_Test,COMMAND,T,OSTECH GS,"{'status_word': 3085, 'interlock_ok': True, 'driver_supply_ok': True, 'driver_temperature_ok': True, 'lt_sensor_ok': True, 'ct_sensor_ok': True, 'lc_on': False, 'lc_error': False}",result,Kommunikations-Test fuer SR830 und OSTECH,,,
2026-09-15,11:05:02,202,KOM_Test,OSTECH,T,XTA,20.990501403808594,result,Kommunikations-Test fuer SR830 und OSTECH,,,
2026-09-15,11:05:02,221,KOM_Test,COMMAND,T,OSTECH GVN,8661,result,Kommunikations-Test fuer SR830 und OSTECH,,,
2026-09-15,11:05:02,235,KOM_Test,OSTECH,T,LVA,0.0,result,Kommunikations-Test fuer SR830 und OSTECH,,,
2026-09-15,11:05:02,265,KOM_Test,OSTECH,T,XTCA,93.0,result,Kommunikations-Test fuer SR830 und OSTECH,,,
2026-09-15,11:05:02,273,KOM_Test,SR830,T,"SNAP 5,6,7,8,9","-0.002,0.00633333,0.001,0.00266667,1000",result,Kommunikations-Test fuer SR830 und OSTECH,,,
2026-09-15,11:05:02,281,KOM_Test,OSTECH,T,XTVA,0.19373954832553864,result,Kommunikations-Test fuer SR830 und OSTECH,,,
2026-09-15,11:05:02,291,KOM_Test,SR830,T,PHAS,0,result,Kommunikations-Test fuer SR830 und OSTECH,,,
