Date,Time,Ms,Category,Tag,State,Message,Value,Info,AdditionalMessage,AdditionalValue,AdditionalInfo,Else
2026-09-15,09:54:29,186,KOM_Test,SR830,T,SR830 Kom Test Start,Ask,Komunkiations Test für SR830 und OSTECH,,,,
2026-09-15,09:54:29,256,KOM_Test,SR830,T,*IDN?,"b'Stanford_Research_Systems,SR830,s/n46328,ver1.07 \r'",Raw,Komunkiations Test für SR830 und OSTECH,,,
2026-09-15,09:54:29,256,KOM_Test,SR830,T,*IDN?,"Stanford_Research_Systems,SR830,s/n46328,ver1.07",Decoded,Komunkiations Test für SR830 und OSTECH,,,
2026-09-15,09:54:31,804,KOM_Test,OSTECH,T,OSTECH Kom Test Start,Ask,Komunkiations Test für SR830 und OSTECH,,,,
2026-09-15,09:54:31,815,KOM_Test,OSTECH,T,OSTECH Kom Test Start,b'GMS8\r',Raw,Komunkiations Test für SR830 und OSTECH,,,
2026-09-15,09:54:31,815,KOM_Test,OSTECH,T,OSTECH Kom Test Start,GMS8,Decoded,Komunkiations Test für SR830 und OSTECH,,,
2026-09-15,09:54:33,852,KOM_Test,SYSTEM,I,status,whileTest gestartet; Geräte-Threads laufen parallel.,status im SYSTEM-Thread,Komunkiations Test für SR830 und OSTECH,,,
2026-09-15,09:54:33,874,KOM_Test,OSTECH,T,LTM,25.0,result im OSTECH-Thread,Komunkiations Test für SR830 und OSTECH,,,
2026-09-15,09:54:33,998,KOM_Test,OSTECH,T,LCA,0.0,result im OSTECH-Thread,Komunkiations Test für SR830 und OSTECH,,,
2026-09-15,09:54:34,064,KOM_Test,SR830,T,"SNAP 1,2,3,4,10,11","-6.10356e-005,-6.10356e-005,0,-135,-6.10356e-005,-6.10356e-005",result im SR830-Thread,Komunkiations Test für SR830 und OSTECH,,,
2026-09-15,09:54:34,123,KOM_Test,OSTECH,T,LVA,0.0,result im OSTECH-Thread,Komunkiations Test für SR830 und OSTECH,,,
2026-09-15,09:54:34,293,KOM_Test,SR830,T,"SNAP 5,6,7,8,9","-0.002,0.00466667,0.001,-0.000666667,1000",result im SR830-Thread,Komunkiations Test für SR830 und OSTECH,,,
2026-09-15,09:54:36,247,KOM_Test,OSTECH,E,error,"Befehl 'LTA' fehlgeschlagen: RuntimeError: Expected 5 response bytes, but received 0 bytes.",error im OSTECH-Thread,Komunkiations Test für SR830 und OSTECH,,,
2026-09-15,09:54:36,458,KOM_Test,SR830,T,PHAS,,result im SR830-Thread,Komunkiations Test für SR830 und OSTECH,,,
2026-09-15,09:54:38,563,KOM_Test,SR830,T,FREQ,,result im SR830-Thread,Komunkiations Test für SR830 und OSTECH,,,
2026-09-15,09:54:38,857,KOM_Test,SR830,T,"SNAP 1,2,3,4,10,11","0,0,0,0,0,0",result im SR830-Thread,Komunkiations Test für SR830 und OSTECH,,,
2026-09-15,09:54:39,076,KOM_Test,SR830,T,"SNAP 5,6,7,8,9","0.001,0.003,-0.000333333,-0.002,1000",result im SR830-Thread,Komunkiations Test für SR830 und OSTECH,,,
2026-09-15,09:54:41,193,KOM_Test,SR830,T,PHAS,,result im SR830-Thread,Komunkiations Test für SR830 und OSTECH,,,
2026-09-15,09:54:43,321,KOM_Test,SR830,T,FREQ,,result im SR830-Thread,Komunkiations Test für SR830 und OSTECH,,,
2026-09-15,09:54:43,614,KOM_Test,SR830,T,"SNAP 1,2,3,4,10,11","0,0,0,90,0,0",result im SR830-Thread,Komunkiations Test für SR830 und OSTECH,,,
2026-09-15,09:54:43,857,KOM_Test,SR830,T,"SNAP 5,6,7,8,9","-0.00466667,0.00466667,-0.000666667,0.000666667,1000",result im SR830-Thread,Komunkiations Test für SR830 und OSTECH,,,
2026-09-15,09:54:45,964,KOM_Test,SR830,T,PHAS,,result im SR830-Thread,Komunkiations Test für SR830 und OSTECH,,,
2026-09-15,09:54:48,069,KOM_Test,SR830,T,FREQ,,result im SR830-Thread,Komunkiations Test für SR830 und OSTECH,,,
2026-09-15,09:54:48,405,KOM_Test,SR830,T,"SNAP 1,2,3,4,10,11","0,-6.10356e-005,0,-90,0,-6.10356e-005",result im SR830-Thread,Komunkiations Test für SR830 und OSTECH,,,
