Timestamp;Device;Command;Raw_Response;Decoded_Info;Latency_ms
2026-06-17 08:09:11.521;TERMINAL;OUTPUT;⏳ Es wurden keine Ports gefunden. Prüfe weiter, während du den Adapter anschließt...;;0
2026-06-17 08:09:11.522;TERMINAL;OUTPUT;;;0
2026-06-17 08:09:11.522;TERMINAL;OUTPUT;[OsTech-Laser] Gib den Port ein (z.B. COM3 oder /dev/serial/by-id/usb-...): ;;0
2026-06-17 08:09:32.418;TERMINAL;OUTPUT;;;0
2026-06-17 08:09:32.418;TERMINAL;OUTPUT;✓ Beende Programm (Strg+C)...;;0










2026-06-17 11:11:59;SESSION;START;HARDWARE;;0
2026-06-17 11:11:59.693;CONFIG;PORT_LASER;None;;0.00
2026-06-17 11:11:59.695;CONFIG;PORT_LOCKIN;None;;0.00
2026-06-17 11:11:59.695;CONFIG;BAUDRATE_LASER;9600;;0.00
2026-06-17 11:11:59.697;CONFIG;BAUDRATE_LOCKIN;19200;;0.00
2026-06-17 11:11:59.698;CONFIG;INTERVAL_LASER;1.0;;0.00
2026-06-17 11:11:59.699;CONFIG;INTERVAL_LOCKIN;0.1;;0.00
2026-06-17 11:11:59.701;CONFIG;LOG_PREFIX;M;;0.00
2026-06-17 11:11:59.703;CONFIG;SIMULATE;False;;0.00
2026-06-17 11:11:59.704;CONFIG;CAPTURE_INPUT;True;;0.00
2026-06-17 11:11:59.705;CONFIG;INSERT_SEPARATOR;True;;0.00
2026-06-17 11:11:59.705;TERMINAL;OUTPUT;;;0
2026-06-17 11:11:59.706;TERMINAL;OUTPUT;================================================================================;;0
2026-06-17 11:11:59.708;TERMINAL;OUTPUT;HARDWARE RS232 / USB KOMMUNIKATIONSSYSTEM - AKTIVER MODUS;;0
2026-06-17 11:11:59.709;TERMINAL;OUTPUT;================================================================================;;0
2026-06-17 11:11:59.711;TERMINAL;OUTPUT;✓ pyserial ist verfügbar - Hardware-Modus aktiv;;0
2026-06-17 11:11:59.713;TERMINAL;OUTPUT;;;0
2026-06-17 11:11:59.714;TERMINAL;OUTPUT;================================================================================;;0
2026-06-17 11:11:59.715;TERMINAL;OUTPUT;SUCHE NACH VERFÜGBAREN SERIELLEN PORTS...;;0
2026-06-17 11:11:59.717;TERMINAL;OUTPUT;================================================================================;;0
2026-06-17 11:11:59.741;TERMINAL;OUTPUT;;;0
