Timestamp;Device;Command;Raw_Response;Decoded_Info;Latency_ms
2026-06-02 20:11:09.037;CONFIG;CAPTURE_INPUT;True;;0.00
2026-06-02 20:11:09.038;CONFIG;INSERT_SEPARATOR;True;;0.00
2026-06-02 20:11:09.043;TERMINAL;OUTPUT;;;0
2026-06-02 20:11:09.045;TERMINAL;OUTPUT;================================================================================;;0
2026-06-02 20:11:09.047;TERMINAL;OUTPUT;HARDWARE RS232 / USB KOMMUNIKATIONSSYSTEM - AKTIVER MODUS;;0
2026-06-02 20:11:09.050;TERMINAL;OUTPUT;================================================================================;;0
2026-06-02 20:11:09.060;TERMINAL;OUTPUT;⚠️  WARNUNG: pyserial ist nicht installiert.;;0
2026-06-02 20:11:09.063;TERMINAL;OUTPUT;   Starte stattdessen den Simulationsmodus.;;0
2026-06-02 20:11:09.067;TERMINAL;OUTPUT;   Installiere pyserial mit: pip install pyserial;;0
2026-06-02 20:11:09.075;TERMINAL;OUTPUT;;;0
2026-06-02 20:11:09.080;TERMINAL;OUTPUT;================================================================================;;0
2026-06-02 20:11:09.088;TERMINAL;OUTPUT;SUCHE NACH VERFÜGBAREN SERIELLEN PORTS...;;0
2026-06-02 20:11:09.095;TERMINAL;OUTPUT;================================================================================;;0
2026-06-02 20:11:09.147;TERMINAL;OUTPUT;;;0
2026-06-02 20:11:09.151;TERMINAL;OUTPUT;Suche serielle Ports... |;;0
2026-06-02 20:11:09.479;TERMINAL;OUTPUT;;;0
2026-06-02 20:11:09.480;TERMINAL;OUTPUT;Suche serielle Ports... /;;0
2026-06-02 20:11:09.796;TERMINAL;OUTPUT;;;0
2026-06-02 20:11:09.798;TERMINAL;OUTPUT;Suche serielle Ports... -;;0
2026-06-02 20:11:10.117;TERMINAL;OUTPUT;;;0
2026-06-02 20:11:10.118;TERMINAL;OUTPUT;Suche serielle Ports... \;;0
2026-06-02 20:11:10.440;TERMINAL;OUTPUT;;;0
2026-06-02 20:11:10.442;TERMINAL;OUTPUT;Suche serielle Ports... |;;0
2026-06-02 20:11:10.767;TERMINAL;OUTPUT;;;0
2026-06-02 20:11:10.770;TERMINAL;OUTPUT;Suche serielle Ports... /;;0
2026-06-02 20:11:11.079;TERMINAL;OUTPUT;;;0
2026-06-02 20:11:11.080;TERMINAL;OUTPUT;Suche serielle Ports... -;;0
2026-06-02 20:11:11.404;TERMINAL;OUTPUT;;;0
2026-06-02 20:11:11.406;TERMINAL;OUTPUT;Suche serielle Ports... \;;0
2026-06-02 20:11:11.748;TERMINAL;OUTPUT;;;0
2026-06-02 20:11:11.749;TERMINAL;OUTPUT;Suche serielle Ports... |;;0
2026-06-02 20:11:12.066;TERMINAL;OUTPUT;;;0
2026-06-02 20:11:12.068;TERMINAL;OUTPUT;Suche serielle Ports... /;;0
2026-06-02 20:11:12.379;TERMINAL;OUTPUT;;;0
2026-06-02 20:11:12.380;TERMINAL;OUTPUT;Suche serielle Ports... -;;0
2026-06-02 20:11:12.695;TERMINAL;OUTPUT;;;0
2026-06-02 20:11:12.698;TERMINAL;OUTPUT;Suche serielle Ports... \;;0
2026-06-02 20:11:13.007;TERMINAL;OUTPUT;;;0
2026-06-02 20:11:13.009;TERMINAL;OUTPUT;Suche serielle Ports... |;;0
2026-06-02 20:11:13.326;TERMINAL;OUTPUT;;;0
2026-06-02 20:11:13.327;TERMINAL;OUTPUT;Suche serielle Ports... /;;0
2026-06-02 20:11:13.640;TERMINAL;OUTPUT;;;0
2026-06-02 20:11:13.642;TERMINAL;OUTPUT;Suche serielle Ports... -;;0
2026-06-02 20:11:13.954;TERMINAL;OUTPUT;;;0
2026-06-02 20:11:13.954;TERMINAL;OUTPUT;Suche serielle Ports... \;;0
2026-06-02 20:11:14.274;TERMINAL;OUTPUT;;;0
2026-06-02 20:11:14.276;TERMINAL;OUTPUT;Suche serielle Ports... |;;0
2026-06-02 20:11:14.607;TERMINAL;OUTPUT;;;0
2026-06-02 20:11:14.611;TERMINAL;OUTPUT;Suche serielle Ports... /;;0
2026-06-02 20:11:14.938;TERMINAL;OUTPUT;;;0
2026-06-02 20:11:14.941;TERMINAL;OUTPUT;Suche serielle Ports... -;;0
2026-06-02 20:11:15.258;TERMINAL;OUTPUT;;;0
2026-06-02 20:11:15.260;TERMINAL;OUTPUT;Suche serielle Ports... \;;0
2026-06-02 20:11:15.580;TERMINAL;OUTPUT;;;0
2026-06-02 20:11:15.582;TERMINAL;OUTPUT;Suche serielle Ports... |;;0
2026-06-02 20:11:15.901;TERMINAL;OUTPUT;;;0
2026-06-02 20:11:15.903;TERMINAL;OUTPUT;Suche serielle Ports... /;;0
2026-06-02 20:11:16.220;TERMINAL;OUTPUT;;;0
2026-06-02 20:11:16.225;TERMINAL;OUTPUT;Suche serielle Ports... -;;0
2026-06-02 20:11:16.543;TERMINAL;OUTPUT;;;0
2026-06-02 20:11:16.545;TERMINAL;OUTPUT;Suche serielle Ports... \;;0
2026-06-02 20:11:16.864;TERMINAL;OUTPUT;;;0
2026-06-02 20:11:16.867;TERMINAL;OUTPUT;Suche serielle Ports... |;;0
2026-06-02 20:11:17.171;TERMINAL;OUTPUT;Keine seriellen Ports gefunden.;;0
2026-06-02 20:11:17.179;TERMINAL;OUTPUT;;;0
2026-06-02 20:11:17.185;TERMINAL;OUTPUT;⏳ Es wurden keine Ports gefunden. Prüfe weiter, während du den Adapter anschließt...;;0
2026-06-02 20:11:17.190;TERMINAL;OUTPUT;;;0
2026-06-02 20:11:17.191;TERMINAL;OUTPUT;[OsTech-Laser] Gib den Port ein (z.B. COM3 oder /dev/serial/by-id/usb-...): ;;0
