Date,Time,Ms,Category,Tag,State,Message,Value,Info,AdditionalMessage,AdditionalValue,AdditionalInfo,Else
2026-09-09,07:34:24,056,SESSION,SYSTEM,HARDWARE,Session started,,,,,,
2026-09-09,07:34:24,056,START,SYSTEM,Version 1.0,Programm gestartet,Version 1.0,,,,, 
2026-09-09,07:34:24,060,Info,Check Ports vor SR830,Check,Test,Check,,,,SR830, 
2026-09-09,07:34:24,060,Warning,COM3,Fail,Port konnte nicht geöffnet werden (Hardware fehlt),Fail,,,,COM3, 
2026-09-09,07:34:24,060,Info,Check Ports vor OSTech,Check,Test,Check,,,,OSTech, 
2026-09-09,07:34:24,060,Warning,COM4,Fail,Port konnte nicht geöffnet werden (Hardware fehlt),Fail,,,,COM4, 
2026-09-09,07:39:35,105,OUTPUT,ERROR,OUTPUT,Traceback (most recent call last):,,,,,,
2026-09-09,07:39:35,105,OUTPUT,ERROR,OUTPUT,"File ""c:\Users\ivenh\Coding\Projekte\Python\Softwear_Projekt\Starter.py"", line 90, in <module>",,,,,,
2026-09-09,07:39:35,106,OUTPUT,ERROR,OUTPUT,StartGui(),,,,,,
2026-09-09,07:39:35,107,OUTPUT,ERROR,OUTPUT,"File ""c:\Users\ivenh\Coding\Projekte\Python\Softwear_Projekt\Starter.py"", line 42, in StartGui",,,,,,
2026-09-09,07:39:35,107,OUTPUT,ERROR,OUTPUT,GUI.root.mainloop(),,,,,,
2026-09-09,07:39:35,108,OUTPUT,ERROR,OUTPUT,"File ""C:\Users\ivenh\AppData\Local\Programs\Python\Python312\Lib\tkinter\__init__.py"", line 1505, in mainloop",,,,,,
2026-09-09,07:39:35,113,OUTPUT,ERROR,OUTPUT,self.tk.mainloop(n),,,,,,
2026-09-09,07:39:35,113,OUTPUT,ERROR,OUTPUT,KeyboardInterrupt,,,,,,
