Date,Time,Ms,Category,Tag,State,Message,Value,Info,AdditionalMessage,AdditionalValue,AdditionalInfo,Else
2026-09-11,12:04:06,179,KOM_Test,SR830,T,Proramm start,Ask,Komunkiations Test für SR830 und OSTECH,,,,
2026-09-11,12:04:06,729,KOM_Test,SR830,T,SR830 Kom Test Start,Ask,Komunkiations Test für SR830 und OSTECH,,,,
2026-09-11,12:04:06,798,KOM_Test,SR830,T,SR830 Kom Test Start,"b'Stanford_Research_Systems,SR830,s/n46328,ver1.07 \r'",Raw,Komunkiations Test für SR830 und OSTECH,,,
2026-09-11,12:04:06,798,KOM_Test,SR830,T,SR830 Kom Test Start,"Stanford_Research_Systems,SR830,s/n46328,ver1.07",Decoded,Komunkiations Test für SR830 und OSTECH,,,
2026-09-11,12:04:07,362,KOM_Test,OSTECH,T,OSTECH auf COM4 erreichbar,Ask,Komunkiations Test für SR830 und OSTECH,,,,
2026-09-11,12:04:07,364,KOM_Test,OSTECH,T,Test all relevant commands for OSTECH,Ask,Komunkiations Test für SR830 und OSTECH,,,,
2026-09-11,12:04:08,366,KOM_Test,OSTECH,T,GVS,,Ask,Komunkiations Test für SR830 und OSTECH,,,
2026-09-11,12:04:08,376,KOM_Test,OSTECH,T,GVS,2024,software version,Komunkiations Test für SR830 und OSTECH,,,
2026-09-11,12:04:08,378,KOM_Test,OSTECH,T,GVN,,Ask,Komunkiations Test für SR830 und OSTECH,,,
2026-09-11,12:04:08,386,KOM_Test,OSTECH,T,GVN,8661,serial number,Komunkiations Test für SR830 und OSTECH,,,
2026-09-11,12:04:08,386,KOM_Test,OSTECH,T,GS,,Ask,Komunkiations Test für SR830 und OSTECH,,,
2026-09-11,12:04:08,413,KOM_Test,OSTECH,T,GS,3085,get status,Komunkiations Test für SR830 und OSTECH,,,
2026-09-11,12:04:08,414,KOM_Test,OSTECH,T,LTM,,Ask,Komunkiations Test für SR830 und OSTECH,,,
2026-09-11,12:04:08,429,KOM_Test,OSTECH,T,LTM,25.0,laser temperature maximum,Komunkiations Test für SR830 und OSTECH,,,
2026-09-11,12:04:08,431,KOM_Test,OSTECH,T,LCA,,Ask,Komunkiations Test für SR830 und OSTECH,,,
2026-09-11,12:04:08,436,KOM_Test,OSTECH,T,LCA,0.0,actual current,Komunkiations Test für SR830 und OSTECH,,,
2026-09-11,12:04:08,445,KOM_Test,OSTECH,T,LVA,,Ask,Komunkiations Test für SR830 und OSTECH,,,
2026-09-11,12:04:08,456,KOM_Test,OSTECH,T,LVA,0.0,laser voltage actual,Komunkiations Test für SR830 und OSTECH,,,
2026-09-11,12:04:08,456,KOM_Test,OSTECH,T,LTA,,Ask,Komunkiations Test für SR830 und OSTECH,,,
2026-09-11,12:04:08,466,KOM_Test,OSTECH,T,LTA,21.004310607910156,temperature actual,Komunkiations Test für SR830 und OSTECH,,,
2026-09-11,12:04:08,466,KOM_Test,OSTECH,T,GT,,Ask,Komunkiations Test für SR830 und OSTECH,,,
2026-09-11,12:04:08,487,KOM_Test,OSTECH,T,GT,28.92818832397461,device temperature (head),Komunkiations Test für SR830 und OSTECH,,,
2026-09-11,12:04:08,488,KOM_Test,OSTECH,T,LVC,,Ask,Komunkiations Test für SR830 und OSTECH,,,
2026-09-11,12:04:08,504,KOM_Test,OSTECH,T,LVC,3.0,compliance voltage,Komunkiations Test für SR830 und OSTECH,,,
