Date,Time,Ms,Category,Tag,State,Message,Value,Info,AdditionalMessage,AdditionalValue,AdditionalInfo,Else
2026-09-11,10:52:04,095,KOM_Test,SR830,T,Proramm start,Ask,Komunkiations Test für SR830 und OSTECH,,,,
2026-09-11,10:52:04,641,KOM_Test,SR830,T,SR830 Kom Test Start,Ask,Komunkiations Test für SR830 und OSTECH,,,,
2026-09-11,10:52:04,701,KOM_Test,SR830,T,SR830 Kom Test Start,"b'Stanford_Research_Systems,SR830,s/n46328,ver1.07 \r'",Raw,Komunkiations Test für SR830 und OSTECH,,,
2026-09-11,10:52:04,711,KOM_Test,SR830,T,SR830 Kom Test Start,"Stanford_Research_Systems,SR830,s/n46328,ver1.07",Decoded,Komunkiations Test für SR830 und OSTECH,,,
2026-09-11,10:52:05,285,KOM_Test,OSTECH,T,OSTECH Kom Test Start,Ask,Komunkiations Test für SR830 und OSTECH,,,,
2026-09-11,10:52:05,291,KOM_Test,OSTECH,T,OSTECH Kom Test Start,b'GS\r',Raw,Komunkiations Test für SR830 und OSTECH,,,
2026-09-11,10:52:05,295,KOM_Test,OSTECH,T,OSTECH Kom Test Start,GS,Decoded,Komunkiations Test für SR830 und OSTECH,,,
2026-09-11,10:52:05,295,KOM_Test,OSTECH,T,LCA,Ask,Komunkiations Test für SR830 und OSTECH,,,,
2026-09-11,10:52:05,309,KOM_Test,OSTECH,T,LCA,Status  3085,Decoded,Komunkiations Test für SR830 und OSTECH,,,
2026-09-11,10:52:05,311,KOM_Test,OSTECH,T,LVA,Ask,Komunkiations Test für SR830 und OSTECH,,,,
2026-09-11,10:52:05,315,KOM_Test,OSTECH,T,LVA,LCA,Decoded,Komunkiations Test für SR830 und OSTECH,,,
2026-09-11,10:52:05,318,KOM_Test,OSTECH,T,LTA,Ask,Komunkiations Test für SR830 und OSTECH,,,,
2026-09-11,10:52:05,356,KOM_Test,OSTECH,T,LTA,Laser Current Actual:      0 mA,Decoded,Komunkiations Test für SR830 und OSTECH,,,
2026-09-11,10:52:05,358,KOM_Test,OSTECH,T,GT,Ask,Komunkiations Test für SR830 und OSTECH,,,,
2026-09-11,10:52:05,371,KOM_Test,OSTECH,T,GT,LVA,Decoded,Komunkiations Test für SR830 und OSTECH,,,
2026-09-11,10:52:05,371,KOM_Test,OSTECH,T,GE,Ask,Komunkiations Test für SR830 und OSTECH,,,,
2026-09-11,10:52:05,409,KOM_Test,OSTECH,T,GE,Laser Volt. Actual:   0.00 V,Decoded,Komunkiations Test für SR830 und OSTECH,,,
2026-09-11,10:52:05,413,KOM_Test,OSTECH,T,GF,Ask,Komunkiations Test für SR830 und OSTECH,,,,
2026-09-11,10:52:05,423,KOM_Test,OSTECH,T,GF,TA,Decoded,Komunkiations Test für SR830 und OSTECH,,,
2026-09-11,10:52:05,431,KOM_Test,OSTECH,T,GFD,Ask,Komunkiations Test für SR830 und OSTECH,,,,
2026-09-11,10:52:05,453,KOM_Test,OSTECH,T,GFD,Laser Temp. Actual: 21.000 �C,Decoded,Komunkiations Test für SR830 und OSTECH,,,
2026-09-11,10:52:05,455,KOM_Test,OSTECH,T,GX,Ask,Komunkiations Test für SR830 und OSTECH,,,,
2026-09-11,10:52:05,457,KOM_Test,OSTECH,T,GX,T,Decoded,Komunkiations Test für SR830 und OSTECH,,,
2026-09-11,10:52:05,459,KOM_Test,OSTECH,T,GT,Ask,Komunkiations Test für SR830 und OSTECH,,,,
2026-09-11,10:52:05,478,KOM_Test,OSTECH,T,GT,Command Unknown,Decoded,Komunkiations Test für SR830 und OSTECH,,,
2026-09-11,10:52:05,485,KOM_Test,OSTECH,T,GVS,Ask,Komunkiations Test für SR830 und OSTECH,,,,
2026-09-11,10:52:05,486,KOM_Test,OSTECH,T,GVS,E,Decoded,Komunkiations Test für SR830 und OSTECH,,,
2026-09-11,10:52:05,487,KOM_Test,OSTECH,T,GVN,Ask,Komunkiations Test für SR830 und OSTECH,,,,
2026-09-11,10:52:05,501,KOM_Test,OSTECH,T,GVN,Command Unknown,Decoded,Komunkiations Test für SR830 und OSTECH,,,
2026-09-11,10:52:05,501,KOM_Test,OSTECH,T,GS,Ask,Komunkiations Test für SR830 und OSTECH,,,,
2026-09-11,10:52:05,504,KOM_Test,OSTECH,T,GS,F,Decoded,Komunkiations Test für SR830 und OSTECH,,,
2026-09-11,10:52:05,505,KOM_Test,OSTECH,T,GM,Ask,Komunkiations Test für SR830 und OSTECH,,,,
2026-09-11,10:52:05,523,KOM_Test,OSTECH,T,GM,Command Unknown,Decoded,Komunkiations Test für SR830 und OSTECH,,,
2026-09-11,10:52:05,523,KOM_Test,OSTECH,T,GSP,Ask,Komunkiations Test für SR830 und OSTECH,,,,
2026-09-11,10:52:05,528,KOM_Test,OSTECH,T,GSP,FD,Decoded,Komunkiations Test für SR830 und OSTECH,,,
2026-09-11,10:52:05,528,KOM_Test,OSTECH,T,GSR,Ask,Komunkiations Test für SR830 und OSTECH,,,,
2026-09-11,10:52:05,547,KOM_Test,OSTECH,T,GSR,Command Unknown,Decoded,Komunkiations Test für SR830 und OSTECH,,,
